anio,nivel,votos_validos,votos_blanco,participacion,gana_oficialismo,share_oficialismo,resultado_disponible
2001,nacional,235896,78315,76.54012735129763,False,19.343269915556007,False
2001,provincial,229230,85592,76.6889636995211,True,31.842254504209745,False
2001,municipal,230541,84281,76.6889636995211,True,31.925340828746297,False
2003,nacional,237125,70331,73.59544241379723,,,False
2003,provincial,250900,57213,72.05619257204731,True,39.113591072140295,False
2003,municipal,277168,30945,72.05619257204731,True,32.246868325347805,False
2005,nacional,270703,59617,77.78036794503194,True,36.08641204567367,False
2005,provincial,295971,35217,76.40178830954919,True,28.831878798936383,False
2005,municipal,295146,36042,76.40178830954919,True,28.38459609820225,False
2007,nacional,320419,28618,78.97104174161332,False,34.01514891439022,False
2007,provincial,318387,37758,77.55281134248926,True,41.19860421436805,False
2007,municipal,321163,34982,77.55281134248926,False,21.012383120097894,False
2009,nacional,307254,41472,76.89522566305335,False,21.338696973839234,False
2009,provincial,327372,25215,74.96061552460547,False,21.23272607309116,False
2009,municipal,324824,27763,74.96061552460547,False,20.763551954289092,False
2011,nacional,354798,14844,81.13775082603107,True,43.294776182503846,True
2011,provincial,330831,47502,78.95966539067307,True,45.639012063561154,True
2011,municipal,352284,31805,77.91028435298291,True,45.44032655471154,True
2013,nacional,380688,27115,81.50776735294764,False,27.11511789181692,True
2013,provincial,384591,34673,79.88995135172172,False,28.28641335860694,True
2013,municipal,393422,25733,79.87434431408973,False,17.394045071195816,True
2015,nacional,398598,11049,77.17759186061606,False,29.890767138821573,True
2015,provincial,395874,26462,79.56499899348873,False,28.882927396090675,True
2015,municipal,392483,30220,79.63743017915901,False,28.42568977509854,True
2017,nacional,401476,16369,73.29163228486316,True,50.09739062858054,True
2017,provincial,419947,13761,76.06536971510887,True,48.35967395885671,True
2017,municipal,419518,13625,76.35596161536795,True,48.10592155759706,True
2019,nacional,418164,8191,82.22401832019936,False,42.95730861575841,True
2019,provincial,426157,15395,79.60877424925128,True,45.0026633376901,True
2019,municipal,421486,19643,79.53394670336095,True,48.72403828359661,True
2021,nacional,390422,9654,74.01852994763276,False,32.75942441768138,True
2021,provincial,397358,18863,70.42288263021845,False,34.53837597330367,True
2021,municipal,397277,18854,70.40784605247596,True,46.07465320167037,True
2023,nacional,428907,11729,77.7616665756374,True,39.90935097818408,True
2023,provincial,428598,32333,73.82258275880805,True,42.28461168740871,True
2023,municipal,423261,37422,73.78550630139964,False,38.13533493518184,True
2025,nacional,393871,13064,70.6286029427067,True,44.146433730840805,True
2025,provincial,393945,15186,63.94280436172225,True,44.15641777405475,False
2025,municipal,395040,14091,63.94280436172225,True,43.71304171729445,False
