# Total de votos, elección general -- La Plata, municipal 2005 (cargo: municipal)
id_agrupacion,agrupacion,votos,votos_porcentaje,campo_ideologico,filiacion_politica,vparty_economico,vparty_progresismo,vparty_populismo
0501,FRENTE PARA LA VICTORIA,83776,25.2956,3,peronistas,-1.541,1.669,0.791
1203,FRENTE RENOVADOR PLATENSE,46461,14.0286,4,peronistas,0.376,-0.016,0.363
0505,FRENTE JUSTICIALISTA,41369,12.4911,3,peronistas,-1.659,1.782,0.803
0047,AFIRMACION PARA UNA REPUBLICA IGUALITARIA,35773,10.8014,4,otros,0.452,0.299,0.372
0003,UNION CIVICA RADICAL,23160,6.9930,3,radicalismo,0.032,0.829,0.356
0503,PROPUESTA REPUBLICANA,19388,5.8541,5,liberales,1.401,-0.142,0.186
0506,ENCUENTRO AMPLIO,8470,2.5575,1,progresistas,-1.991,1.557,0.821
0038,MOV.SOCIALISTA DE LOS TRABAJADORES,5623,1.6978,1,marxistas,-1.991,2.325,0.723
0507,CONFEDERACION VECINAL,4701,1.4194,,vecinalismo,,,
0022,PARTIDO HUMANISTA,4659,1.4068,2,progresistas,-1.412,1.557,0.723
0014,PARTIDO OBRERO,4649,1.4037,1,marxistas,-1.991,2.325,0.723
0229,PARTIDO PROYECTO POPULAR,3310,0.9994,,,,,
0504,FRENTE MAS - PTS,2522,0.7615,1,marxistas,-1.991,2.325,0.723
0557,NUEVA CAPITAL,2061,0.6223,,vecinalismo,,,
0033,PARTIDO NACIONALISTA CONSTITUCIONAL (UNIR),1945,0.5873,5,nacionalistas,,,
0001,MOVIMIENTO DE INTEGRACION Y DESARROLLO,1267,0.3826,5,liberales,0.185,0.925,0.351
0226,MOVIMIENTO VECINALISTA PROVINCIAL,1159,0.3500,,vecinalismo,,,
0510,FRENTE UNION POPULAR,1126,0.3400,5,conservadores,2.365,-1.020,0.045
1230,FED.DEMOCRATA CRIST. DE RENOVACION FEDERAL,1070,0.3231,4,liberales,2.365,-1.020,0.045
0030,PARTIDO SOCIALISTA AUTENTICO,936,0.2826,2,progresistas,-1.683,2.154,0.481
0210,MOVIMIENTO POR LA JUSTICIA SOCIAL,556,0.1679,,,,,
0009,PARTIDO RENOVADOR DE LA PROV. DE BS AS,529,0.1597,4,peronistas,0.376,-0.016,0.363
0221,PARTIDO NUEVO BUENOS AIRES,496,0.1498,4,otros,,,
0509,FRENTE POPULAR,140,0.0423,,,,,
BLANCO,BLANCO,28770,8.6869,,,,,
NULO,NULO,7272,2.1957,,,,,
VOTANTES_HABILITADOS,VOTANTES_HABILITADOS,433482,100.0000,,,,,
